Age,Urban_population,Total_population,live_in_urban_percentage
0 - 4,4852006.0,5578087.0,0.8698333317497557
5 - 9,5109001.0,5928495.0,0.8617703143883904
10 - 14,5127976.0,6014652.0,0.8525806646835096
15 - 19,5651131.0,6568380.0,0.8603538467628243
20 - 24,6502213.0,7350598.0,0.8845828597890947
25 - 29,7321003.0,8280049.0,0.8841738738502635
30 - 34,8660059.0,9754857.0,0.8877689339782223
35 - 39,7742640.0,8735781.0,0.8863134275000712
40 - 44,7062486.0,8080596.0,0.8740055807764675
45 - 49,6616303.0,7725861.0,0.8563839033604151
50 - 54,7480089.0,8796499.0,0.8503484170236363
55 - 59,8818349.0,10255164.0,0.8598935131607842
60 - 64,7385888.0,8544629.0,0.8643895481009182
65 - 69,6353609.0,7432610.0,0.854828788272222
70 - 74,5584991.0,6637497.0,0.8414302861455154
75 - 79,4347080.0,5262801.0,0.8260012111421275
80 - 84,2791585.0,3412393.0,0.8180725373660068
85 - 89,1508536.0,1849260.0,0.8157511653309972
90 - 94,685165.0,840870.0,0.8148286893336664
95 - 99,171626.0,211221.0,0.812542313501025
100 +,20442.0,25353.0,0.8062951130043782
