Age,Urban_population,Total_population,live_in_urban_percentage
1 - 4,4382109.0,6390952.0,0.6856739027299845
5 - 9,4977703.0,7849292.0,0.6341594885245702
10 - 14,5562760.0,9183407.0,0.6057403314477949
15 - 19,7730522.0,10851888.0,0.7123665485674013
20 - 24,7023393.0,9068689.0,0.7744661880013748
25 - 29,6255040.0,8363829.0,0.7478679920404877
30 - 34,5889361.0,8257330.0,0.7132282469030546
35 - 39,5131181.0,7498539.0,0.6842907665079824
40 - 44,4003116.0,5961402.0,0.671505796790755
45 - 49,3267326.0,4921811.0,0.6638462956013549
50 - 54,3070230.0,4657998.0,0.6591308111338819
55 - 59,2586174.0,4002009.0,0.6462189365391232
60 - 64,2110810.0,3344459.0,0.6311364558513051
65 - 69,1570360.0,2562311.0,0.6128686174316857
70 - 74,1037871.0,1744561.0,0.5949181484625645
75 - 79,635886.0,1095914.0,0.5802334854742252
80 - 84,298353.0,528116.0,0.5649383847488052
85 +,136408.0,249923.0,0.5458001064327813
100 +,,214.0,
