Age,Urban_population,Total_population,live_in_urban_percentage
1 - 4,5250237.0,7009322.0,0.7490363547287455
5 - 9,5878191.0,8267336.0,0.7110139227436746
10 - 14,5243300.0,7977879.0,0.6572298226132535
15 - 19,6580913.0,9167044.0,0.7178882309280942
20 - 24,8448047.0,10727636.0,0.7875031367581823
25 - 29,7228683.0,9148198.0,0.7901756170996737
30 - 34,6440992.0,8441333.0,0.7630301991403491
35 - 39,6066204.0,8272842.0,0.7332672375466617
40 - 44,5223474.0,7393628.0,0.706483204186091
45 - 49,4100482.0,5919697.0,0.6926844397610216
50 - 54,3315868.0,4841390.0,0.6848999977279252
55 - 59,3029444.0,4455213.0,0.67997736584087
60 - 64,2500740.0,3752119.0,0.6664873901920488
65 - 69,1955667.0,3005586.0,0.6506774386093095
70 - 74,1359488.0,2150406.0,0.6322006169997666
75 - 79,787732.0,1280431.0,0.6152084727720588
80 - 84,394411.0,656578.0,0.6007069990161108
85 +,176043.0,300291.0,0.5862413458944824
