Age,Urban_population,Total_population,live_in_urban_percentage
1 - 4,3771724.0,4732446.0,0.7969925066234248
5 - 9,4686566.0,6021789.0,0.7782680528992297
10 - 14,5000556.0,6546612.0,0.7638387611790648
15 - 19,5878320.0,7488165.0,0.7850147532806769
20 - 24,6989577.0,8421460.0,0.8299721188487507
25 - 29,8149612.0,9790309.0,0.8324162189365014
30 - 34,7301831.0,8776610.0,0.831964847475278
35 - 39,6578179.0,8114865.0,0.810633202154318
40 - 44,6099826.0,7800219.0,0.7820070180080841
45 - 49,6895939.0,8916008.0,0.7734334693284259
50 - 54,8237639.0,10441990.0,0.7888955074655309
55 - 59,6965529.0,8734172.0,0.7975030718424139
60 - 64,6039491.0,7735833.0,0.7807163107062937
65 - 69,5374653.0,7105939.0,0.7563607005351439
70 - 74,4304854.0,5900576.0,0.7295650458531506
75 - 79,2979368.0,4150600.0,0.7178162193417819
80 - 84,1864830.0,2614689.0,0.7132129289563692
85 - 89,1089747.0,1532323.0,0.7111731664929652
90 - 94,401755.0,570281.0,0.704486034077937
95 - 99,82972.0,118488.0,0.7002565660657619
100 +,8403.0,12256.0,0.685623368146214
