Age,Urban_population,Total_population,live_in_urban_percentage
0 - 4,4831346.0,5296748.0,0.9121343888740789
5 - 9,5061966.0,5585661.0,0.9062429674840632
10 - 14,5348569.0,5921035.0,0.9033165654315504
15 - 19,5506483.0,6063357.0,0.9081574777800483
20 - 24,5925984.0,6426433.0,0.9221264735818455
25 - 29,6720343.0,7293701.0,0.9213899774613739
30 - 34,7675385.0,8341497.0,0.9201447893585528
35 - 39,9015173.0,9786349.0,0.9211988045797264
40 - 44,8046407.0,8741865.0,0.9204451224080903
45 - 49,7328789.0,8033116.0,0.9123220678003405
50 - 54,6878402.0,7644499.0,0.8997845378748823
55 - 59,7753645.0,8663734.0,0.8949541848814841
60 - 64,9046242.0,10037249.0,0.9012670702898772
65 - 69,7424237.0,8210173.0,0.9042729063078208
70 - 74,6249910.0,6963302.0,0.89754975441249
75 - 79,5276323.0,5941013.0,0.8881184067430925
80 - 84,3804707.0,4336264.0,0.8774159045666962
85 - 89,2121067.0,2432588.0,0.8719384458033995
90 - 94,889810.0,1021707.0,0.8709052595313529
95 - 99,258266.0,296756.0,0.8702974834544205
100 +,38068.0,43882.0,0.8675083177612689
