Age,Urban_population,Total_population,live_in_urban_percentage
1 - 4,6362117.0,8086850.0,0.7867237552322598
5 - 9,6909152.0,8938021.0,0.7730069105901631
10 - 14,6102632.0,8282064.0,0.7368491718972469
15 - 19,5976931.0,7948546.0,0.7519527470810384
20 - 24,7265099.0,9071509.0,0.8008699544915846
25 - 29,8699204.0,10794583.0,0.8058860634079149
30 - 34,7466369.0,9245791.0,0.8075424806812094
35 - 39,6608966.0,8422320.0,0.7846966156593432
40 - 44,6228116.0,8224070.0,0.7573033789838851
45 - 49,5371555.0,7361410.0,0.7296910510350598
50 - 54,4138791.0,5781705.0,0.7158426450329098
55 - 59,3309537.0,4673649.0,0.7081269902810416
60 - 64,3013063.0,4283734.0,0.7033730385686879
65 - 69,2381479.0,3449037.0,0.6904765011219074
70 - 74,1739711.0,2575882.0,0.675384586716317
75 - 79,1080556.0,1641007.0,0.6584712923223363
80 - 84,519558.0,808703.0,0.6424583561579468
85 +,245321.0,390800.0,0.6277405322415558
