Age,Urban_population,Total_population,live_in_urban_percentage
1 - 4,5321442.0,6928912.0,0.7680054242282194
5 - 9,7756057.0,10032034.0,0.7731290583744035
10 - 14,6868366.0,8959628.0,0.7665905325533605
15 - 19,6427250.0,8272245.0,0.7769656242047956
20 - 24,6287716.0,7841026.0,0.8018996493571122
25 - 29,7081800.0,9041355.0,0.7832675522640136
30 - 34,8539643.0,10771731.0,0.7927827941488699
35 - 39,7325951.0,9201581.0,0.7961622029953331
40 - 44,6490176.0,8337500.0,0.778431904047976
45 - 49,6099623.0,8090387.0,0.753934638726182
50 - 54,5229244.0,7200022.0,0.7262816696948982
55 - 59,4001925.0,5613505.0,0.7129102049432574
60 - 64,3153194.0,4465247.0,0.7061633992475668
65 - 69,2783873.0,3964681.0,0.7021682198391245
70 - 74,2087955.0,3022977.0,0.6906949672458639
75 - 79,1378413.0,2036685.0,0.6767924347653171
80 - 84,722973.0,1093643.0,0.6610685571068439
85 +,340280.0,529370.0,0.6428018210325481
