Age,Urban_population,Total_population,live_in_urban_percentage
1 - 4,3766858.0,6267520.0,0.6010125216991729
5 - 9,5307144.0,9204635.0,0.5765729982774982
10 - 14,6586396.0,11017538.0,0.5978101459690903
15 - 19,6490516.0,9308538.0,0.697264812154175
20 - 24,5889696.0,8318450.0,0.7080280581117877
25 - 29,5614573.0,8209360.0,0.6839233509067698
30 - 34,4945303.0,7517805.0,0.6578120874377561
35 - 39,3903508.0,6038030.0,0.6464870164606668
40 - 44,3209618.0,5019130.0,0.6394769611466529
45 - 49,3062162.0,4816559.0,0.6357571868215462
50 - 54,2617979.0,4201390.0,0.6231221095875412
55 - 59,2221495.0,3641207.0,0.6100985195293759
60 - 64,1738501.0,2931617.0,0.5930177782432016
65 - 69,1241583.0,2160402.0,0.5746999863914216
70 - 74,874510.0,1563804.0,0.5592196976091633
75 - 79,518551.0,954678.0,0.5431684819384127
80 - 84,252508.0,482925.0,0.5228720815861676
85 +,94648.0,188000.0,0.5034468085106383
100 +,,300.0,
