Age,Urban_population,Total_population,live_in_urban_percentage
1 - 4,3927542.0,7538402.0,0.5210045842606961
5 - 9,5994003.0,11042592.0,0.5428076125605292
10 - 14,5149818.0,9507817.0,0.5416404207190778
15 - 19,5101550.0,8625519.0,0.5914484682023192
20 - 24,5115997.0,8403243.0,0.6088122169024507
25 - 29,4555564.0,7604328.0,0.5990751582519849
30 - 34,3632699.0,6116932.0,0.5938759822734665
35 - 39,3007495.0,5115126.0,0.5879610785736266
40 - 44,2885704.0,4945330.0,0.5835210188197755
45 - 49,2495990.0,4367173.0,0.5715344915349129
50 - 54,2153380.0,3849490.0,0.5593935820069672
55 - 59,1740567.0,3205514.0,0.5429915451936881
60 - 64,1310266.0,2496593.0,0.5248216269131573
65 - 69,997521.0,1967019.0,0.507123215383278
70 - 74,682285.0,1392662.0,0.48991427927235753
75 - 79,411809.0,875701.0,0.47026211001243573
80 - 84,170545.0,377787.0,0.4514316268161689
85 +,58066.0,134122.0,0.4329341942410641
100 +,,158.0,
