Age,Urban_population,Total_population,live_in_urban_percentage
1 - 4,4610949.0,6029605.0,0.7647182526881944
5 - 9,6492373.0,8531834.0,0.7609586637527171
10 - 14,7744941.0,10042121.0,0.7712455366749713
15 - 19,7138599.0,8979947.0,0.7949489011460759
20 - 24,6760146.0,8200554.0,0.824352354731156
25 - 29,6188285.0,7823402.0,0.7909966789383953
30 - 34,7044273.0,9054224.0,0.7780095787336386
35 - 39,8460219.0,10738044.0,0.7878733780565622
40 - 44,7265141.0,9134954.0,0.7953122697716923
45 - 49,6418621.0,8236614.0,0.7792790823996365
50 - 54,5984058.0,7932994.0,0.7543252900481205
55 - 59,5084292.0,6999745.0,0.7263538886059421
60 - 64,3854427.0,5405538.0,0.7130515038466106
65 - 69,2964885.0,4193419.0,0.7070328531444151
70 - 74,2506982.0,3563397.0,0.7035371023773102
75 - 79,1730525.0,2493343.0,0.6940581380098927
80 - 84,975677.0,1432937.0,0.6808931585966446
85 - 89,401949.0,603534.0,0.6659923053216554
85 +,519951.0,785247.0,0.6621496166174465
90 - 94,102268.0,157228.0,0.6504439412827232
95 - 99,14587.0,22727.0,0.6418357020284243
100 +,1147.0,1758.0,0.6524459613196815
