Age,Urban_population,Total_population,live_in_urban_percentage
1 - 4,4074486.0,5279212.0,0.7717981395708299
5 - 9,5662795.0,7466557.0,0.7584211839539965
10 - 14,6471582.0,8526785.0,0.7589709368771466
15 - 19,7974754.0,10007087.0,0.796910629436918
20 - 24,7386812.0,8800121.0,0.8393989128104034
25 - 29,6605737.0,8070713.0,0.8184824562588212
30 - 34,6137043.0,7787685.0,0.7880445857787006
35 - 39,6961340.0,9003780.0,0.7731574960738712
40 - 44,8383246.0,10658290.0,0.7865469976891227
45 - 49,7178650.0,9018012.0,0.7960346471040403
50 - 54,6306784.0,8088386.0,0.7797333114418624
55 - 59,5827428.0,7724888.0,0.7543705488027788
60 - 64,4896676.0,6745014.0,0.7259697311228709
65 - 69,3638132.0,5103576.0,0.7128593754653599
70 - 74,2701052.0,3817534.0,0.7075384266387673
75 - 79,2127596.0,3018213.0,0.7049191027936067
80 - 84,1275715.0,1832858.0,0.6960250057560379
85 - 89,570329.0,833050.0,0.6846275733749475
90 - 94,166580.0,247919.0,0.6719130038439974
95 - 99,25252.0,38222.0,0.6606666317827429
100 +,2104.0,3223.0,0.652807942910332
