Age,Urban_population,Total_population,live_in_urban_percentage
0 - 4,3316968.0,4516082.0,0.7344791347898466
5 - 9,3612399.0,5089093.0,0.7098315947458614
10 - 14,3731424.0,5350517.0,0.6973950367786889
15 - 19,3973139.0,5617440.0,0.7072864151642029
20 - 24,4542266.0,5931306.0,0.7658121162523059
25 - 29,4637686.0,6031964.0,0.7688517371788028
30 - 34,4861469.0,6484594.0,0.7496952006555846
35 - 39,5365617.0,7311567.0,0.733853221888003
40 - 44,6024226.0,8291077.0,0.7265914910692544
45 - 49,7056057.0,9650293.0,0.7311754161246711
50 - 54,6229185.0,8539851.0,0.7294254899763474
55 - 59,5422520.0,7767482.0,0.698105254701588
60 - 64,4724151.0,7297190.0,0.6473931746329752
65 - 69,5046796.0,8075268.0,0.6249694746973103
70 - 74,5786980.0,9011795.0,0.6421561964070421
75 - 79,4549961.0,6930928.0,0.6564721203278984
80 - 84,3370406.0,5296728.0,0.6363184970041883
85 - 89,2202466.0,3669823.0,0.6001559203264026
90 - 94,983383.0,1779016.0,0.5527679346335278
95 - 99,253476.0,492724.0,0.5144381032789148
100 +,39738.0,79523.0,0.4997044880097582
