Age,Urban_population,Total_population,live_in_urban_percentage
1 - 4,3765095.0,4803676.0,0.7837945356847548
5 - 9,5003897.0,6540671.0,0.765043372461327
10 - 14,5661829.0,7477805.0,0.7571511961063441
15 - 19,6738126.0,8557958.0,0.7873520762780093
20 - 24,8273486.0,9895001.0,0.8361278589057242
25 - 29,7335287.0,8788141.0,0.8346801672845258
30 - 34,6622376.0,8126455.0,0.8149157289371565
35 - 39,6122780.0,7822221.0,0.7827418836670557
40 - 44,6958048.0,9006072.0,0.772595200216032
45 - 49,8375780.0,10618366.0,0.788801214800846
50 - 54,7123036.0,8921918.0,0.7983749682523421
55 - 59,6218576.0,7953480.0,0.7818685657096013
60 - 64,5651465.0,7475109.0,0.7560378049336806
65 - 69,4657595.0,6396078.0,0.728195466034029
70 - 74,3356768.0,4695167.0,0.7149411298895225
75 - 79,2336124.0,3289067.0,0.710269508039818
80 - 84,1628388.0,2300765.0,0.7077593756859132
85 - 89,795224.0,1136823.0,0.6995143483198352
90 - 94,254558.0,367802.0,0.6921060788141445
95 - 99,47106.0,68944.0,0.683250174054305
100 +,3231.0,4809.0,0.6718652526512788
