Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
China,2020,Total,Both Sexes,41,Census - de jure - complete tabulation,"Final figure, complete",2024,19339617,"1,2"
China,2020,Total,Both Sexes,42,Census - de jure - complete tabulation,"Final figure, complete",2024,18564211,"1,2"
China,2020,Total,Both Sexes,43,Census - de jure - complete tabulation,"Final figure, complete",2024,17758286,"1,2"
China,2020,Total,Both Sexes,44,Census - de jure - complete tabulation,"Final figure, complete",2024,19752499,"1,2"
China,2020,Total,Both Sexes,45,Census - de jure - complete tabulation,"Final figure, complete",2024,20259918,"1,2"
China,2020,Total,Both Sexes,45 - 49,Census - de jure - complete tabulation,"Final figure, complete",2024,114224887,"1,2"
China,2020,Total,Both Sexes,46,Census - de jure - complete tabulation,"Final figure, complete",2024,22208985,"1,2"
China,2020,Total,Both Sexes,47,Census - de jure - complete tabulation,"Final figure, complete",2024,23233417,"1,2"
China,2020,Total,Both Sexes,48,Census - de jure - complete tabulation,"Final figure, complete",2024,23862010,"1,2"
China,2020,Total,Both Sexes,49,Census - de jure - complete tabulation,"Final figure, complete",2024,24660557,"1,2"
China,2020,Total,Both Sexes,50,Census - de jure - complete tabulation,"Final figure, complete",2024,26062036,"1,2"
China,2020,Total,Both Sexes,50 - 54,Census - de jure - complete tabulation,"Final figure, complete",2024,121164296,"1,2"
China,2020,Total,Both Sexes,51,Census - de jure - complete tabulation,"Final figure, complete",2024,24444570,"1,2"
China,2020,Total,Both Sexes,52,Census - de jure - complete tabulation,"Final figure, complete",2024,26105080,"1,2"
China,2020,Total,Both Sexes,53,Census - de jure - complete tabulation,"Final figure, complete",2024,20959668,"1,2"
China,2020,Total,Both Sexes,54,Census - de jure - complete tabulation,"Final figure, complete",2024,23592942,"1,2"
China,2020,Total,Both Sexes,55,Census - de jure - complete tabulation,"Final figure, complete",2024,23106155,"1,2"
China,2020,Total,Both Sexes,55 - 59,Census - de jure - complete tabulation,"Final figure, complete",2024,101400786,"1,2"
China,2020,Total,Both Sexes,56,Census - de jure - complete tabulation,"Final figure, complete",2024,22559346,"1,2"
China,2020,Total,Both Sexes,57,Census - de jure - complete tabulation,"Final figure, complete",2024,26044142,"1,2"
China,2020,Total,Both Sexes,58,Census - de jure - complete tabulation,"Final figure, complete",2024,19132096,"1,2"
China,2020,Total,Both Sexes,59,Census - de jure - complete tabulation,"Final figure, complete",2024,10559047,"1,2"
China,2020,Total,Both Sexes,60,Census - de jure - complete tabulation,"Final figure, complete",2024,12899885,"1,2"
China,2020,Total,Both Sexes,60 - 64,Census - de jure - complete tabulation,"Final figure, complete",2024,73382938,"1,2"
China,2020,Total,Both Sexes,61,Census - de jure - complete tabulation,"Final figure, complete",2024,12135959,"1,2"
China,2020,Total,Both Sexes,62,Census - de jure - complete tabulation,"Final figure, complete",2024,15464277,"1,2"
China,2020,Total,Both Sexes,63,Census - de jure - complete tabulation,"Final figure, complete",2024,17232007,"1,2"
China,2020,Total,Both Sexes,64,Census - de jure - complete tabulation,"Final figure, complete",2024,15650810,"1,2"
China,2020,Total,Both Sexes,65,Census - de jure - complete tabulation,"Final figure, complete",2024,16295105,"1,2"
China,2020,Total,Both Sexes,65 - 69,Census - de jure - complete tabulation,"Final figure, complete",2024,74005560,"1,2"
China,2020,Total,Both Sexes,66,Census - de jure - complete tabulation,"Final figure, complete",2024,16248455,"1,2"
China,2020,Total,Both Sexes,67,Census - de jure - complete tabulation,"Final figure, complete",2024,14620318,"1,2"
China,2020,Total,Both Sexes,68,Census - de jure - complete tabulation,"Final figure, complete",2024,14550479,"1,2"
China,2020,Total,Both Sexes,69,Census - de jure - complete tabulation,"Final figure, complete",2024,12291203,"1,2"
China,2020,Total,Both Sexes,70,Census - de jure - complete tabulation,"Final figure, complete",2024,11600773,"1,2"
China,2020,Total,Both Sexes,70 - 74,Census - de jure - complete tabulation,"Final figure, complete",2024,49590036,"1,2"
China,2020,Total,Both Sexes,71,Census - de jure - complete tabulation,"Final figure, complete",2024,11228645,"1,2"
China,2020,Total,Both Sexes,72,Census - de jure - complete tabulation,"Final figure, complete",2024,9552234,"1,2"
China,2020,Total,Both Sexes,73,Census - de jure - complete tabulation,"Final figure, complete",2024,9046226,"1,2"
China,2020,Total,Both Sexes,74,Census - de jure - complete tabulation,"Final figure, complete",2024,8162158,"1,2"
China,2020,Total,Both Sexes,75,Census - de jure - complete tabulation,"Final figure, complete",2024,7179399,"1,2"
China,2020,Total,Both Sexes,75 - 79,Census - de jure - complete tabulation,"Final figure, complete",2024,31238849,"1,2"
