,Year,1 years old,Population Sum,Ratio
0,1982,17375778.0,186849553.0,0.0929934148678429
1,1987,20103300.0,221684700.0,0.09068420148075172
2,1990,23331877.0,243570554.0,0.09579104130953367
3,2000,11495247.0,304253532.0,0.03778180297344913
4,2010,15657955.0,331075352.0,0.04729423348917862
5,2020,14383791.0,306854137.0,0.046875010845951214
