,Year,1 years old,Population Sum,Ratio
0,1982,17375778.0,165709363.0,0.10485694764272312
1,1987,20103300.0,199404900.0,0.10081647943455753
2,1990,23331877.0,221448459.0,0.10536030417804804
3,2000,11495247.0,266838403.0,0.04307943261075506
4,2010,15657955.0,289350108.0,0.05411421861297525
5,2020,14383791.0,246635622.0,0.05832000618304845
