Age,Urban_population,Total_population,live_in_urban_percentage
0,5375279.0,13786434.0,0.38989625598613825
1,6422596.0,15657955.0,0.41018102300076864
2,6437420.0,15617375.0,0.41219603166345176
3,6440086.0,15250805.0,0.42227843054842024
4,6261089.0,15220041.0,0.41137136227162596
5,6231577.0,14732137.0,0.4229920615047226
6,6334279.0,14804470.0,0.4278625982557971
7,5701919.0,13429161.0,0.42459234795085116
8,6029449.0,13666956.0,0.4411698552333087
9,6268435.0,14248825.0,0.439926450075708
10,6482094.0,14454357.0,0.4484526015235406
11,6132357.0,13935714.0,0.4400461289604537
12,6657054.0,15399559.0,0.43228861294014975
13,6583590.0,15225032.0,0.4324187955729748
14,6952431.0,15893800.0,0.4374303816582567
15,8547125.0,18024484.0,0.47419526683815194
16,10041894.0,18790521.0,0.5344127499178974
17,11578930.0,20775369.0,0.5573393184977846
18,11487150.0,20755274.0,0.5534569189498534
19,11934893.0,21543466.0,0.5539913122614532
20,15689966.0,28026954.0,0.5598170247112833
21,15061118.0,26556649.0,0.5671317190659108
22,13674158.0,24474192.0,0.5587174440733325
23,14135397.0,25695955.0,0.5501020296774337
24,12497879.0,22658768.0,0.5515692203565525
25,11035389.0,19933683.0,0.5536051215422659
26,11063548.0,19709177.0,0.5613399280954248
27,11235111.0,19480836.0,0.5767263273506332
28,13032548.0,22322147.0,0.5838393591799211
29,11313360.0,19568009.0,0.578155907430337
30,10862255.0,18928369.0,0.5738611181977697
31,11581456.0,19866458.0,0.582965317722968
32,11292170.0,19474874.0,0.579832762974487
33,10498339.0,18179478.0,0.5774829728334334
34,11776737.0,20689024.0,0.5692263201976082
35,11942210.0,21186516.0,0.5636703080393208
36,12681983.0,22906980.0,0.553629636032336
37,13272600.0,23990208.0,0.5532507262963289
38,13505676.0,24730460.0,0.5461150338489458
39,13622896.0,25211795.0,0.5403382028134054
40,14576001.0,27397219.0,0.5320248379954184
41,13081469.0,24956297.0,0.5241750809424972
42,13881224.0,27032542.0,0.5135005061677145
43,10477792.0,21355748.0,0.49063100014103933
44,11770010.0,24012158.0,0.4901687720029162
45,12009672.0,23962574.0,0.501184555548999
46,11935030.0,23355778.0,0.511009738147023
47,13971065.0,26972157.0,0.5179810053752838
48,9983191.0,20075084.0,0.4972926140682649
49,5730583.0,11228960.0,0.5103396040238811
50,7324260.0,14097008.0,0.5195613140036524
51,6561315.0,12838832.0,0.5110523293707714
52,8324372.0,16617709.0,0.5009337929795257
53,8902000.0,18351980.0,0.48507027579585416
54,8074441.0,16847642.0,0.4792623798630099
55,8296747.0,17610528.0,0.4711242615780742
56,8320707.0,17738127.0,0.4690859976366163
57,7356416.0,16093888.0,0.4570937737357188
58,7276912.0,16167933.0,0.45008301308522247
59,6186753.0,13701998.0,0.45152196051991833
60,6167728.0,13618204.0,0.4529031875275183
61,5788932.0,13029125.0,0.44430704287509715
62,4954390.0,11276853.0,0.4393415432479256
63,4751147.0,10791633.0,0.44026209935048755
64,4374720.0,9951467.0,0.4396055375554177
65,3940064.0,9073411.0,0.4342428663266769
66,3717055.0,8640965.0,0.43016665384016717
67,3430163.0,7942141.0,0.43189399432722236
68,3424183.0,7740868.0,0.4423512970380066
69,3398864.0,7715897.0,0.4405014737755053
70,3315788.0,7389412.0,0.4487214950255853
71,2834118.0,6265718.0,0.4523213460931373
72,3081471.0,6893225.0,0.44702893058038873
73,2831559.0,6343869.0,0.4463457552480986
74,2714324.0,6080173.0,0.44642216594823864
75,2517979.0,5632477.0,0.4470464770650639
76,2298248.0,5175500.0,0.44406298908318037
77,2244702.0,5082383.0,0.441663290625677
78,1856730.0,4254858.0,0.4363788403749314
79,1613844.0,3706915.0,0.43536040076451715
80,1624227.0,3737259.0,0.4346038099045316
81,1224900.0,2816693.0,0.43487167398079946
82,1175148.0,2757918.0,0.4260996882430877
83,957935.0,2237138.0,0.4281966512570972
84,780618.0,1824190.0,0.42792581913068267
85,697531.0,1648160.0,0.4232180128142899
86,568519.0,1344215.0,0.4229375509126144
87,449577.0,1065276.0,0.42202865736203576
88,370318.0,858879.0,0.4311643432893341
89,306245.0,715398.0,0.42807639943080633
90,234552.0,553805.0,0.4235281371601918
91,161906.0,371079.0,0.436311405388071
92,126867.0,287676.0,0.4410065490343303
93,93662.0,209291.0,0.44752043805037006
94,70776.0,156456.0,0.4523699953980672
95,54087.0,117522.0,0.46022872313269003
96,42759.0,90889.0,0.47045297010639353
97,33041.0,68648.0,0.481310453327118
98,27368.0,54689.0,0.5004297024995886
99,19287.0,38231.0,0.5044858884151605
100 +,15811.0,35934.0,0.44000111315188956
