Age,Urban_population,Total_population,live_in_urban_percentage
0,7296053.0,11988057.0,0.6086101359044256
1,9252634.0,14383791.0,0.6432681064400894
2,9799801.0,15266778.0,0.6419036813137651
3,12020790.0,18418078.0,0.652662563379306
4,11491399.0,17827184.0,0.644599786483384
5,10265724.0,16547271.0,0.6203877364430667
6,11682523.0,18591806.0,0.6283694548017551
7,11085814.0,17963157.0,0.6171417418441536
8,11878026.0,19353752.0,0.6137324690323612
9,10626678.0,17788070.0,0.5974047774716426
10,10245210.0,17347565.0,0.5905849034143985
11,10264214.0,17695044.0,0.5800615132689131
12,10111715.0,17356919.0,0.5825754559320119
13,9753848.0,16677054.0,0.5848663678848794
14,9383552.0,16179412.0,0.5799686663520282
15,10299879.0,15323224.0,0.6721744066392294
16,11446478.0,15218156.0,0.7521593286335085
17,10439016.0,13730626.0,0.7602724012728918
18,10340220.0,14043179.0,0.7363161859576097
19,10647756.0,14368955.0,0.7410250780241152
20,10855089.0,14563347.0,0.7453704838592392
21,10139516.0,13935509.0,0.7276028453643135
22,10739189.0,15249809.0,0.7042179347951177
23,10666506.0,15325970.0,0.6959759153906735
24,11043039.0,15867040.0,0.6959734770946566
25,11950766.0,17146447.0,0.6969820628145295
26,11820799.0,16826988.0,0.7024904873052741
27,12847528.0,18298935.0,0.702091569809937
28,13405827.0,19060645.0,0.7033249399482546
29,14470922.0,20514317.0,0.7054059854880862
30,18364157.0,25973082.0,0.7070457406633529
31,18183418.0,25451203.0,0.7144423782247149
32,17302964.0,24037711.0,0.7198257770883426
33,18724813.0,25946853.0,0.7216602722495865
34,16427882.0,22736341.0,0.7225385122434608
35,14077309.0,19586332.0,0.718731256061625
36,14021313.0,19499941.0,0.7190438678763182
37,13781360.0,19063741.0,0.7229095275685922
38,15758723.0,21799284.0,0.7229009448200225
39,13569208.0,19063634.0,0.7117849618808251
40,12338278.0,17540717.0,0.7034078481512471
41,13605145.0,19339617.0,0.7034857515534046
42,12913763.0,18564211.0,0.6956268165665646
43,12209444.0,17758286.0,0.6875350470197406
44,13356231.0,19752499.0,0.6761793026796254
45,13507522.0,20259918.0,0.6667115829392795
46,14520355.0,22208985.0,0.6538054305498427
47,15058331.0,23233417.0,0.6481324292505058
48,15231509.0,23862010.0,0.6383162608682169
49,15526115.0,24660557.0,0.6295930379836919
50,16135430.0,26062036.0,0.6191162501655665
51,14934722.0,24444570.0,0.6109627618730867
52,15653981.0,26105080.0,0.5996526729663345
53,12173426.0,20959668.0,0.5808024249239062
54,13685918.0,23592942.0,0.5800852644829119
55,13571621.0,23106155.0,0.5873595585245577
56,13425716.0,22559346.0,0.5951287772260774
57,15639325.0,26044142.0,0.6004930014588309
58,11127407.0,19132096.0,0.5816094065177176
59,6233341.0,10559047.0,0.5903317789948278
60,7700342.0,12899885.0,0.5969310579125318
61,7161884.0,12135959.0,0.5901374584406556
62,8975417.0,15464277.0,0.5803968074291478
63,9779174.0,17232007.0,0.5675005819113235
64,8762703.0,15650810.0,0.5598881463643096
65,8974766.0,16295105.0,0.5507645394122959
66,8884807.0,16248455.0,0.5468093427959766
67,7792738.0,14620318.0,0.5330074215895988
68,7634783.0,14550479.0,0.524710079991181
69,6440404.0,12291203.0,0.5239848369602227
70,6063433.0,11600773.0,0.5226749114046108
71,5775813.0,11228645.0,0.5143820113646838
72,4874793.0,9552234.0,0.5103301489473562
73,4617961.0,9046226.0,0.5104848143303075
74,4162493.0,8162158.0,0.5099745680002764
75,3628725.0,7179399.0,0.5054357614056553
76,3435862.0,6818961.0,0.5038688445351132
77,3047930.0,6019552.0,0.5063383454449767
78,2941826.0,5672036.0,0.5186543244788996
79,2876707.0,5548901.0,0.5184282437188914
80,2600441.0,4919088.0,0.5286429110436731
81,2214865.0,4139582.0,0.5350455674026992
82,2257336.0,4242478.0,0.5320796006484889
83,1977891.0,3711083.0,0.532968677876512
84,1805046.0,3370647.0,0.5355191451374173
85,1563550.0,2909233.0,0.5374440617166105
86,1349077.0,2518664.0,0.5356319858464647
87,1221477.0,2285081.0,0.5345442896772588
88,921751.0,1724439.0,0.5345222417261498
89,743059.0,1389113.0,0.5349161659274659
90,654039.0,1216116.0,0.5378097155205589
91,456677.0,843235.0,0.5415773775993643
92,382602.0,712963.0,0.5366365435513484
93,274967.0,511539.0,0.5375289078643075
94,199411.0,368896.0,0.5405615674878557
95,155841.0,289772.0,0.5378055850806841
96,111823.0,206218.0,0.5422562530913887
97,77451.0,143736.0,0.5388420437468693
98,55087.0,100616.0,0.5474974159179454
99,43666.0,79470.0,0.5494652069963508
100 +,63306.0,118866.0,0.532582908485185
