Age,Urban_population,Total_population,live_in_urban_percentage
0,4615488.0,23220851.0,0.19876480840430868
1,4835604.0,23331877.0,0.20725310698320584
2,5004776.0,24180595.0,0.20697489040282094
3,4992400.0,24294365.0,0.20549621280490352
4,4417274.0,21410731.0,0.20631121842593791
5,4069174.0,19982290.0,0.20363902235429474
6,4109420.0,19056078.0,0.2156487814544
7,4640214.0,20196487.0,0.2297535209960029
8,4947039.0,22015342.0,0.22470870541098112
9,3737391.0,18086546.0,0.2066392886734703
10,4080341.0,19224062.0,0.21225176031995735
11,4176422.0,19310091.0,0.2162818393761065
12,4093380.0,18864678.0,0.21698647599497856
13,4088404.0,19367292.0,0.21109838174588372
14,4310244.0,20460569.0,0.2106610036113854
15,4549701.0,21643791.0,0.2102081377518384
16,5092479.0,23487567.0,0.21681594351598868
17,5935781.0,24536599.0,0.24191539340884202
18,6338805.0,24496002.0,0.25876896156360535
19,6940220.0,25994462.0,0.2669884069922278
20,7095796.0,26036065.0,0.27253719023976936
21,7450681.0,27155679.0,0.2743691660223263
22,6551675.0,24552078.0,0.2668480851193125
23,5805833.0,22823165.0,0.2543833425381624
24,6722190.0,25194187.0,0.26681511890024473
25,7065582.0,24520614.0,0.2881486572889243
26,7941688.0,25287489.0,0.31405601402337735
27,8446846.0,27026864.0,0.31253518721224927
28,4811856.0,15928062.0,0.30209927610779014
29,4158464.0,11504496.0,0.36146424841209907
30,5091356.0,14443119.0,0.3525108392446258
31,4865994.0,14378626.0,0.3384185665584458
32,6200675.0,19060366.0,0.32531772999532116
33,5737072.0,18350283.0,0.31264215380220567
34,5497329.0,17643313.0,0.31158144731661225
35,5863782.0,19377065.0,0.30261456004818066
36,5526851.0,18330697.0,0.3015079568441942
37,5022574.0,17226144.0,0.29156693453857113
38,4835083.0,16887297.0,0.28631479626372414
39,4267530.0,14530609.0,0.29369243918131716
40,4474523.0,15342107.0,0.2916498366228315
41,3697571.0,13010398.0,0.284201221207837
42,3502848.0,12392389.0,0.28266123666711884
43,3424849.0,11950704.0,0.28658135955839925
44,3131966.0,11012066.0,0.28441220748222906
45,2940246.0,10465110.0,0.28095700857420514
46,2773700.0,9953414.0,0.2786682036937276
47,2733052.0,9445561.0,0.2893477687561385
48,2806805.0,9670367.0,0.2902480329857181
49,2843764.0,9553489.0,0.297667585109482
50,2795808.0,9248199.0,0.3023083737709364
51,2713923.0,8942550.0,0.3034842410721774
52,2782215.0,9233016.0,0.3013332804795313
53,2726508.0,9098119.0,0.29967820820985086
54,2712100.0,9097675.0,0.2981091322783019
55,2611911.0,8804360.0,0.2966610860982513
56,2574539.0,8802518.0,0.29247756153409743
57,2475665.0,8620744.0,0.28717532964672193
58,2218369.0,7846915.0,0.2827058786797104
59,2139376.0,7634798.0,0.28021383145958806
60,2131162.0,7730945.0,0.2756664288777116
61,1875379.0,6966479.0,0.2692004095612719
62,1856509.0,7060132.0,0.26295669826003254
63,1617976.0,6233873.0,0.2595458714028983
64,1535661.0,5984825.0,0.2565924651096732
65,1501522.0,6169042.0,0.2433963004304396
66,1383968.0,5696874.0,0.24293463397645795
67,1214095.0,4989630.0,0.2433236532568547
68,1195273.0,4885527.0,0.24465589894396245
69,1103165.0,4591447.0,0.24026521486581465
70,1025562.0,4452357.0,0.23034136750489684
71,877877.0,3732596.0,0.2351920754348984
72,826043.0,3529123.0,0.23406466705750975
73,764466.0,3301436.0,0.2315556018653701
74,699365.0,3035068.0,0.2304281156138841
75,633174.0,2736912.0,0.23134613023728934
76,618998.0,2614032.0,0.2367981723253579
77,508534.0,2123063.0,0.23952845487863525
78,443801.0,1846321.0,0.2403704447926444
79,394762.0,1613596.0,0.24464735906633384
80,355968.0,1494781.0,0.23814057042469766
81,298004.0,1236185.0,0.2410674777642505
82,250460.0,1029258.0,0.24334034809542407
83,210546.0,852655.0,0.24692988371615718
84,185871.0,739811.0,0.2512411953863892
85,151204.0,593736.0,0.254665373162483
86,121085.0,467819.0,0.25882873504496395
87,95935.0,362274.0,0.26481337330307997
88,76482.0,277790.0,0.2753230857842255
89,58180.0,205925.0,0.2825300473473352
90,38840.0,139173.0,0.27907711984364786
91,24257.0,80713.0,0.3005339908069332
92,18150.0,60818.0,0.2984313854450985
93,12551.0,41841.0,0.299968929996893
94,8708.0,29057.0,0.2996868224524211
95,6174.0,21397.0,0.2885451231481049
96,4232.0,14184.0,0.29836435420191765
97,2809.0,9641.0,0.291359817446323
98,2083.0,7525.0,0.2768106312292359
99,1454.0,5104.0,0.2848746081504702
100 +,1743.0,6681.0,0.2608890884598114
Unknown,0.0,0.0,
