Age,Urban_population,Total_population,live_in_urban_percentage
0,4449020.0,13793799.0,0.322537685230878
1,3959109.0,11495247.0,0.34441269509041433
2,4446693.0,14010711.0,0.31737811164615415
3,4540441.0,14454335.0,0.31412313330222386
4,4723454.0,15224282.0,0.31025791561138977
5,5131173.0,16933559.0,0.3030179893075047
6,5079125.0,16470140.0,0.30838383887447224
7,5325222.0,17914756.0,0.2972533926780806
8,5402985.0,18752106.0,0.28812683759360147
9,5649858.0,20082026.0,0.2813390441781123
10,7152715.0,26210044.0,0.2728997707901597
11,7139682.0,25137678.0,0.2840231305373551
12,7096287.0,24576191.0,0.2887464131443314
13,7549999.0,26282644.0,0.28726177625051724
14,6864201.0,23190076.0,0.29599734817600426
15,6566720.0,20429326.0,0.32143595926757446
16,7622407.0,20313426.0,0.3752398536810088
17,8717062.0,20065048.0,0.43444012693116907
18,10557054.0,23100427.0,0.4570068769724473
19,8768342.0,19122938.0,0.45852483546199857
20,8184049.0,18393809.0,0.44493497785042785
21,8482883.0,18924822.0,0.4482410983839108
22,8137015.0,18831591.0,0.43209386822387974
23,7640595.0,17931155.0,0.4261072418369034
24,8577345.0,20491797.0,0.4185745642512465
25,8826991.0,21136635.0,0.41761571792293334
26,9443777.0,22874423.0,0.4128531242077669
27,9871292.0,23630435.0,0.4177363641422598
28,10266888.0,24800391.0,0.413980892478671
29,10379568.0,25160381.0,0.41253620126022733
30,11317216.0,28012344.0,0.40400817582420095
31,10081724.0,25018386.0,0.40297259783264994
32,10889920.0,27718516.0,0.39287528957177936
33,8091592.0,21736582.0,0.3722568709284652
34,9343188.0,24828470.0,0.3763094544287264
35,9712082.0,24799129.0,0.3916299641007553
36,9871914.0,24144848.0,0.40886213075352557
37,11684273.0,27866189.0,0.4192992805725964
38,8406336.0,20923112.0,0.40177273820452714
39,4843559.0,11414017.0,0.42435182985972425
40,6345924.0,14684726.0,0.43214452894796945
41,5634273.0,13059787.0,0.4314215078699216
42,7152999.0,17135981.0,0.4174257079299983
43,7592532.0,18998424.0,0.3996400964627382
44,6792882.0,17364027.0,0.3912042984038207
45,7098668.0,18612172.0,0.38139922626977657
46,7053339.0,18513434.0,0.3809849107410327
47,6158539.0,16745695.0,0.3677684921408159
48,6180302.0,17236621.0,0.35855647113201594
49,5217858.0,14413123.0,0.3620213329200063
50,5283465.0,14711260.0,0.3591442881167215
51,4943699.0,13913927.0,0.35530580259620453
52,4208252.0,12083027.0,0.3482779604812602
53,4110213.0,11737540.0,0.3501766980133827
54,3790119.0,10858446.0,0.3490480129477091
55,3436251.0,10045173.0,0.3420798228163915
56,3297572.0,9708711.0,0.339650855813918
57,3017116.0,8821540.0,0.3420169267497512
58,3118415.0,8869780.0,0.35157749121173243
59,3135035.0,8925171.0,0.3512576957909266
60,3234700.0,9141141.0,0.35386173345318706
61,2757702.0,7574442.0,0.36407988865714463
62,3094577.0,8611865.0,0.35933877272809084
63,2907008.0,8128275.0,0.35764144298759576
64,2950565.0,8248125.0,0.35772554368417064
65,2762576.0,7808592.0,0.3537867005985202
66,2559940.0,7220066.0,0.3545590857479696
67,2626663.0,7456399.0,0.35226964114983655
68,2230604.0,6503311.0,0.3429951297116192
69,1994687.0,5792092.0,0.3443810975378154
70,2176555.0,6499332.0,0.33488903167279344
71,1711584.0,5045743.0,0.33921347163341453
72,1762881.0,5359819.0,0.3289068156965748
73,1510913.0,4606896.0,0.3279676814931355
74,1317554.0,4062359.0,0.32433224143902595
75,1274770.0,4057266.0,0.31419433677752456
76,1121851.0,3575411.0,0.31376840312903886
77,944116.0,3025726.0,0.31202957571174655
78,890490.0,2838736.0,0.3136924321247203
79,768907.0,2431191.0,0.316267623563924
80,698264.0,2310212.0,0.30225104882149345
81,541534.0,1740870.0,0.3110709013309437
82,479929.0,1546079.0,0.3104168674433842
83,410791.0,1304628.0,0.31487213213268456
84,341498.0,1087369.0,0.31405898089792883
85,284268.0,898283.0,0.31645706308590943
86,250802.0,772037.0,0.32485748740021525
87,193302.0,583159.0,0.33147392049166696
88,148728.0,441245.0,0.33706444265657404
89,116979.0,335974.0,0.3481787281158661
90,97367.0,285875.0,0.3405929164844775
91,64606.0,181689.0,0.3555856435997776
92,50295.0,140092.0,0.35901407646403793
93,36424.0,100237.0,0.36337879226233827
94,27894.0,75701.0,0.36847597786026604
95,21154.0,58097.0,0.3641151866705682
96,15582.0,42063.0,0.37044433349975037
97,11618.0,31168.0,0.3727541067761807
98,8303.0,23294.0,0.3564437194127243
99,5598.0,15134.0,0.3698955993128056
100 +,6195.0,17877.0,0.3465346534653465
