Age,Urban_population,Total_population,live_in_urban_percentage
0,3758415.0,20809347.0,0.18061186638869542
1,2768027.0,17375778.0,0.1593037733331998
2,2997460.0,18273841.0,0.1640301018269777
3,3150054.0,19625509.0,0.16050814274422132
4,3066599.0,18619886.0,0.16469483218103484
5,3020983.0,19421300.0,0.1555499889296803
6,3177128.0,20432542.0,0.15549352596461077
7,3302328.0,21779429.0,0.15162601370311407
8,3578125.0,24032967.0,0.14888403083980434
9,3989063.0,25069633.0,0.15911932177068566
10,4149999.0,25222513.0,0.16453550841662765
11,4508865.0,27323306.0,0.16501901343856412
12,4477053.0,26487340.0,0.1690261460758234
13,4885385.0,28239541.0,0.17299803137735134
14,4243925.0,24538257.0,0.17295136325289934
15,3620393.0,22750897.0,0.1591318795034763
16,4391524.0,25686509.0,0.17096616749282667
17,4826890.0,24417934.0,0.19767806727628964
18,5785682.0,25131408.0,0.23021718480715445
19,6276971.0,27379596.0,0.2292572541976149
20,3453149.0,15620970.0,0.22105855142158265
21,3173497.0,10690834.0,0.2968427907495337
22,3994390.0,14307196.0,0.27918748020227024
23,3811515.0,14284240.0,0.26683358722620176
24,4966565.0,19459780.0,0.25522205287007355
25,4637884.0,18876181.0,0.24570033525319554
26,4445686.0,17932830.0,0.24790766432292058
27,4723428.0,19662511.0,0.24022506586264591
28,4480080.0,18604868.0,0.24080149345859375
29,4072183.0,17487492.0,0.2328626083145599
30,3943394.0,17351297.0,0.2272679673456111
31,3481071.0,14628858.0,0.23795917630754226
32,3601496.0,15269938.0,0.2358553125755979
33,3002294.0,13149025.0,0.22832826008012
34,2861001.0,12559119.0,0.22780268265632328
35,2838602.0,12401450.0,0.22889275044450447
36,2582248.0,11284882.0,0.2288236598309136
37,2421522.0,10580696.0,0.22886226010084781
38,2310266.0,10255445.0,0.22527213592389214
39,2305336.0,9699156.0,0.23768418612918485
40,2413904.0,10060211.0,0.23994566316750215
41,2471199.0,9999643.0,0.24712872249539308
42,2416933.0,9384301.0,0.25755066893101575
43,2415401.0,9401304.0,0.2569219121092138
44,2460916.0,9592484.0,0.25654627101801786
45,2446387.0,9601925.0,0.25478089029022827
46,2447713.0,9655814.0,0.2534962873145651
47,2372989.0,9297996.0,0.25521510226504723
48,2353819.0,9459632.0,0.2488277556674509
49,2290645.0,9387964.0,0.24399805964317717
50,2057460.0,8579435.0,0.23981299467855402
51,1959468.0,8137913.0,0.24078261834453132
52,1978097.0,8426358.0,0.2347511226083677
53,1773442.0,7776282.0,0.22805783020728929
54,1745348.0,7895513.0,0.22105568061252004
55,1527458.0,7083086.0,0.21564865935554078
56,1462869.0,6911047.0,0.21167111148281875
57,1425104.0,7049455.0,0.20215803916756686
58,1346831.0,6797183.0,0.19814546702656086
59,1201951.0,6053556.0,0.19855288362740842
60,1219735.0,6162246.0,0.19793675877269423
61,1134006.0,5753771.0,0.19708917855785363
62,1068703.0,5688684.0,0.1878647152838864
63,954960.0,4966706.0,0.1922723028099509
64,914238.0,4790797.0,0.19083213085421905
65,884485.0,4804711.0,0.18408703457918696
66,828603.0,4475235.0,0.18515295844799212
67,775151.0,4159969.0,0.18633576355977652
68,795321.0,4246945.0,0.1872689662804675
69,678856.0,3573510.0,0.18996896608656474
70,616823.0,3248508.0,0.18987886131110035
71,589084.0,3067353.0,0.1920496271540967
72,548285.0,2923408.0,0.18754994171186506
73,509731.0,2747288.0,0.1855397031545291
74,441183.0,2361488.0,0.18682415493959742
75,399903.0,2114856.0,0.18909230699395135
76,375404.0,1993144.0,0.18834765576395884
77,326262.0,1688121.0,0.19326932133419347
78,291585.0,1512955.0,0.1927254941488676
79,256330.0,1307967.0,0.19597589235814053
80,226767.0,1114354.0,0.20349637547852836
81,191294.0,918361.0,0.2082993506910681
82,142527.0,694784.0,0.2051385754421518
83,108903.0,525285.0,0.2073217396270596
84,92523.0,451821.0,0.2047779983666098
85 +,289863.0,1345486.0,0.21543367972613614
Unknown,209.0,771.0,0.2710765239948119
