Year,1,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,Women in Age Range Population Sum,Ratio
1986,1426158.0,879462.0,819053.0,797054.0,772858.0,763136.0,770855.0,787903.0,770829.0,750958.0,793213.0,826383.0,828427.0,889330.0,942780.0,1006513.0,1087596.0,1197170.0,1194742.0,1138830.0,717581.0,783279.0,957878.0,932398.0,960860.0,943182.0,864911.0,757387.0,817097.0,844463.0,853101.0,829381.0,27278610.0,0.052281182948837934
1987,1385199.0,709086.0,878560.0,818648.0,795976.0,772747.0,762666.0,770670.0,787301.0,770486.0,750336.0,792606.0,825595.0,827647.0,888326.0,941885.0,1005443.0,1086217.0,1195866.0,1193424.0,1137914.0,716952.0,782075.0,956463.0,931130.0,959252.0,941525.0,863297.0,755699.0,815129.0,842302.0,850879.0,27126102.0,0.0510651696288689
1988,1360346.0,906388.0,708027.0,877237.0,816973.0,794085.0,771116.0,761491.0,769577.0,786625.0,770342.0,749797.0,792379.0,825086.0,827375.0,887603.0,941203.0,1004416.0,1085105.0,1194956.0,1192296.0,1137204.0,716348.0,781008.0,954830.0,929671.0,957573.0,939739.0,861652.0,754072.0,813105.0,840030.0,27147309.0,0.050109791729264955
1989,1311553.0,898476.0,905458.0,707073.0,875955.0,816042.0,793188.0,770713.0,760972.0,769381.0,786076.0,770152.0,749553.0,792074.0,824828.0,826794.0,887066.0,940568.0,1003767.0,1084043.0,1193857.0,1191265.0,1136647.0,715800.0,779915.0,953319.0,928386.0,956034.0,938117.0,860070.0,752443.0,811189.0,27179221.0,0.048255724474222425
1990,1260478.0,912977.0,893522.0,894019.0,698931.0,864869.0,809441.0,791595.0,767843.0,758496.0,767364.0,785240.0,768365.0,749202.0,792161.0,823055.0,826834.0,886971.0,940406.0,1001685.0,1082127.0,1192114.0,1188137.0,1132220.0,713707.0,776919.0,949119.0,924139.0,953472.0,932065.0,854326.0,747303.0,27178624.0,0.04637755023948232
1991,1212076.0,933998.0,915877.0,896061.0,896701.0,700393.0,867576.0,812098.0,793605.0,769840.0,760062.0,768877.0,786555.0,769756.0,750564.0,793140.0,824442.0,827878.0,887961.0,941601.0,1002531.0,1083102.0,1193079.0,1188849.0,1133365.0,714141.0,777017.0,949386.0,924121.0,953281.0,931965.0,854004.0,27401826.0,0.04423340254769883
1992,1212343.0,965169.0,934224.0,915879.0,895974.0,897920.0,700260.0,869030.0,813366.0,794275.0,770747.0,760588.0,769074.0,786900.0,770233.0,750690.0,793168.0,824358.0,827672.0,887892.0,941126.0,1001764.0,1082101.0,1191977.0,1187439.0,1132440.0,713308.0,775565.0,947574.0,922375.0,951046.0,929855.0,27503989.0,0.044078806168807
1993,1217000.0,987000.0,966000.0,936000.0,916000.0,896000.0,898000.0,700000.0,870000.0,813000.0,794000.0,771000.0,761000.0,769000.0,787000.0,770000.0,751000.0,793000.0,824000.0,827000.0,888000.0,940000.0,1001000.0,1081000.0,1190000.0,1186000.0,1131000.0,712000.0,774000.0,945000.0,920000.0,949000.0,27546000.0,0.044180643287591664
1994,1193000.0,1003000.0,986000.0,964000.0,935000.0,914000.0,895000.0,898000.0,699000.0,869000.0,813000.0,794000.0,770000.0,760000.0,768000.0,786000.0,770000.0,750000.0,792000.0,824000.0,826000.0,887000.0,940000.0,999000.0,1079000.0,1188000.0,1184000.0,1129000.0,710000.0,772000.0,943000.0,918000.0,27565000.0,0.04327952113187013
1995,1201008.0,981998.0,999681.0,977824.0,956741.0,927680.0,914494.0,895731.0,895985.0,702126.0,868712.0,813381.0,795891.0,772276.0,762346.0,771792.0,787930.0,770107.0,752151.0,794432.0,823907.0,827681.0,886632.0,940070.0,1000430.0,1080439.0,1190322.0,1181836.0,1127009.0,710425.0,770095.0,942760.0,27622884.0,0.04347873306784331
