Year,Ratio
1950,0.1489839404177865
1955,0.0904312202726488
1960,0.0774836069138475
1965,0.0727029810827174
1970,0.0745027196294857
1972,0.0757558427694536
1973,0.0767289437999095
1978,0.064642960707248
1979,0.0627774256076962
1980,0.0599400004710988
1982,0.0561546738308791
1983,0.0555856111843915
1984,0.0554891453892826
1985,0.0546773254099937
1986,0.0522811829488379
1987,0.0510651696288689
1988,0.0501097917292649
1989,0.0482557244742224
1990,0.0463775502394823
1991,0.0442334025476988
1992,0.044078806168807
1993,0.0441806432875916
1994,0.0432795211318701
1995,0.0434787330678433
1996,0.042897480451781
1997,0.0428077255693283
1998,0.0428131269704786
2000,0.0430457059051343
2001,0.0436276707007321
2003,0.0442504859549491
2004,0.0431226480301052
2005,0.0425683857546496
2006,0.0412088986198537
2008,0.0430120291231402
2009,0.0434713375796178
2010,0.0417933225478944
2011,0.0419056021173356
2012,0.0431826459994334
2013,0.0424682099771763
2014,0.0427620768977982
2015,0.0404409015848427
2016,0.0399201596806387
2017,0.0420115111540562
2018,0.0404989675081124
2019,0.040066422549604
2020,0.0380046273520249
2021,0.0361763814963866
2022,0.0363141967457567
2023,0.0354726722449706
2024,0.034189964319588
