Age,Female,Male
0 - 4,20283303.0,24312837.0
5 - 9,18432135.0,21883755.0
10 - 14,19498449.0,22602487.0
15 - 19,21998069.0,24301053.0
20 - 24,28387211.0,27966789.0
25 - 29,21470374.0,21863522.0
30 - 34,20037497.0,21089749.0
35 - 39,25958770.0,27041824.0
40 - 44,30204559.0,30762909.0
45 - 49,25911726.0,26053286.0
50 - 54,19333944.0,20232839.0
55 - 59,21554888.0,22320051.0
60 - 64,15862984.0,16767381.0
65 - 69,11321076.0,11881877.0
70 - 74,9033575.0,9161562.0
75 - 79,7090242.0,6230388.0
80 - 84,4358086.0,3252284.0
85 - 89,2022212.0,1217526.0
90 - 94,605703.0,284841.0
95 - 99,136712.0,56725.0
