Age,Female,Male
1 - 4,35202774.0,38764740.0
5 - 9,37368078.0,40465427.0
10 - 14,37048976.0,39428925.0
15 - 19,44507320.0,46794115.0
20 - 24,45551287.0,46583712.0
25 - 29,35354820.0,36488269.0
30 - 34,27139752.0,29343529.0
35 - 39,29574079.0,31261913.0
40 - 44,21887915.0,23587992.0
45 - 49,16584446.0,18405928.0
50 - 54,14982412.0,16906593.0
55 - 59,14290650.0,15398825.0
60 - 64,12265720.0,12693847.0
65 - 69,10238619.0,9695878.0
70 - 74,7488626.0,6368641.0
75 - 79,4764984.0,3569671.0
80 - 84,2536434.0,1515407.0
85 - 89,954609.0,450049.0
90 - 94,181144.0,67952.0
95 - 99,30377.0,10722.0
