Age,Female,Male
1 - 4,5779320.0,6202820.0
5 - 9,8245768.0,8821859.0
10 - 14,10769531.0,11495696.0
15 - 19,12021833.0,12879627.0
20 - 24,9351488.0,10047628.0
25 - 29,10687494.0,11671767.0
30 - 34,7799018.0,9090238.0
35 - 39,5635080.0,6822894.0
40 - 44,5609977.0,6568376.0
45 - 49,5403912.0,6507641.0
50 - 54,4207545.0,5306270.0
55 - 59,3222437.0,3741776.0
60 - 64,2554199.0,2737443.0
65 - 69,2021873.0,1940543.0
70 - 74,1483708.0,1221398.0
75 - 79,989028.0,660456.0
80 - 84,488463.0,273551.0
