Age,Female,Male
1 - 4,8143843.0,9525854.0
5 - 9,12407930.0,14180433.0
10 - 14,17101577.0,18701307.0
15 - 19,21144674.0,21086911.0
20 - 24,20370526.0,20651361.0
25 - 29,23967795.0,24820721.0
30 - 34,23963072.0,25760568.0
35 - 39,21248275.0,23269889.0
40 - 44,16019427.0,17499183.0
45 - 49,15463382.0,16245324.0
50 - 54,10873434.0,11462314.0
55 - 59,7927230.0,8077159.0
60 - 64,7425175.0,7519377.0
65 - 69,6045865.0,6128605.0
70 - 74,4263294.0,4216193.0
75 - 79,2708591.0,2291543.0
80 - 84,1467657.0,1004359.0
85 - 89,646529.0,347550.0
90 - 94,196397.0,80189.0
95 - 99,44428.0,17827.0
