Age,Female,Male
1 - 4,24034800.0,26531900.0
5 - 9,31273100.0,33550600.0
10 - 14,36689100.0,38945700.0
15 - 19,41126900.0,42852000.0
20 - 24,37668100.0,37771000.0
25 - 29,20569500.0,21742700.0
30 - 34,26004600.0,27255300.0
35 - 39,21130700.0,22148300.0
40 - 44,15675800.0,16683300.0
45 - 49,13396800.0,14667700.0
50 - 54,13331900.0,14227500.0
55 - 59,11762400.0,12372100.0
60 - 64,9986000.0,10184400.0
65 - 69,7979700.0,7415200.0
70 - 74,5997900.0,5040200.0
75 - 79,3759700.0,2685700.0
80 - 84,2013000.0,1160700.0
