Age,Female,Male
1 - 4,29918909.0,31993965.0
5 - 9,45463807.0,48204437.0
10 - 14,53203494.0,56342236.0
15 - 19,49539930.0,50924954.0
20 - 24,27131418.0,27832486.0
25 - 29,34130130.0,36074491.0
30 - 34,27228975.0,28840006.0
35 - 39,20020871.0,21742784.0
40 - 44,17000396.0,19259194.0
45 - 49,16926302.0,18565476.0
50 - 54,15078970.0,16222716.0
55 - 59,13177965.0,13752149.0
60 - 64,11098608.0,10971954.0
65 - 69,9066524.0,8231430.0
70 - 74,6429606.0,5213333.0
75 - 79,4131312.0,2836247.0
80 - 84,1865366.0,1077225.0
