Age,Female,Male
0 - 4,14186741.0,16749729.0
5 - 9,13984749.0,16580910.0
10 - 14,15142736.0,17664790.0
15 - 19,25986215.0,27603777.0
20 - 24,35016734.0,36041784.0
25 - 29,28706440.0,28973516.0
30 - 34,27578884.0,28432073.0
35 - 39,31676085.0,33349280.0
40 - 44,30940727.0,32845769.0
45 - 49,25906409.0,27723132.0
50 - 54,19055993.0,20130395.0
55 - 59,18674648.0,18762887.0
60 - 64,12969872.0,13067045.0
65 - 69,9043735.0,8866594.0
70 - 74,7535369.0,7241891.0
75 - 79,5483032.0,5048471.0
80 - 84,3097610.0,2665218.0
85 - 89,1409906.0,982284.0
90 - 94,441732.0,246031.0
95 - 99,115551.0,60991.0
