Age,Female,Male
1 - 4,9220569.0,10029485.0
5 - 9,10337790.0,11165448.0
10 - 14,9994123.0,10754668.0
15 - 19,14000512.0,14856474.0
20 - 24,15976864.0,17649311.0
25 - 29,15399722.0,17024714.0
30 - 34,13029822.0,14362604.0
35 - 39,12208886.0,13306934.0
40 - 44,8483772.0,9747985.0
45 - 49,6647595.0,7449972.0
50 - 54,6526792.0,7203762.0
55 - 59,5578748.0,6441112.0
60 - 64,4228586.0,4788101.0
65 - 69,3176416.0,3221607.0
70 - 74,2217750.0,1975563.0
75 - 79,1479836.0,1119433.0
80 - 84,822302.0,478547.0
85 - 89,347189.0,155697.0
90 - 94,75938.0,26568.0
95 - 99,12925.0,3827.0
