Age,Female,Male
1 - 4,16852244.0,20662634.0
5 - 9,29441449.0,34122775.0
10 - 14,42950317.0,46643432.0
15 - 19,29008321.0,31791259.0
20 - 24,26264882.0,27286405.0
25 - 29,33403712.0,35410037.0
30 - 34,37990770.0,39599888.0
35 - 39,31757629.0,32871502.0
40 - 44,22980331.0,24744004.0
45 - 49,26118060.0,27694279.0
50 - 54,19626641.0,21341811.0
55 - 59,14381639.0,15984347.0
60 - 64,12604195.0,14155101.0
65 - 69,11185247.0,11420743.0
70 - 74,8874701.0,8219961.0
75 - 79,6043928.0,4884268.0
80 - 84,3317633.0,2199509.0
85 - 89,1327228.0,709391.0
90 - 94,357439.0,149569.0
95 - 99,73955.0,33546.0
